,SERIAL,JOURV7,DEVICE,SEXE,AGE2,DEP,REG12,AGGLO5,EMP,PCSI,MAR,A0_0,A0_1,A0_2,A1,A2,A2BIS,A3_0,A3_1,A3BIS,A4,A5Q,A6_0,A6_1,A6_2,A6_3,A6_4,A6_5,A6_6,A6_7,A6_8,A6_9,A6_10,B1Q,B2_0,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B3Q,B5Q,B5AQ,B5BQ,B5CQ,B6Q_0,B6Q_1,B6Q_2,C1C2,C3,C4_0,C4_1,C4_2,C4_3,C4_4,C4_5,C4_6,C4_7,C51,C52,C53,C54,C6_0,C6_1,C6_2,C6_3,C7,C7DEP,C7REG12,C8Q,C9QA,C9QB,C9QC,C10,C11,D60A,D60,D61,D62_0,D62_1,D62_2,D63,ALEAD65,D65,D66,ALEAD70,D70,D71,D67,D68_0,D68_1,D68_2,D68_3,D68_4,D68_5,D68_6,D68_7,D68_8,D69_0,D69_1,D69_2,D69_3,D69_4,D69_5,D69_6,D69_7
0,1,1,3,2,4,34,10,4,8,8,1,3,9,6,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,2,1,1,4,2,1,1,2,2,180,2,,30.0,40.0,0,0,0,2,2.0,2,2,2,2,2,2,2,2,3,3,4,4,,,,,1,34.0,10,2.0,1,0,0,4,,2,1,1,2,3,2,2,1,3.0,,1,4.0,,2,2,2,2,2,2,2,2,2,2,2,5,2,1,1,2,5,1
1,2,1,2,2,1,6,12,4,8,8,1,1,8,5,2,,2.0,3,,2,2,,2,2,2,2,1,2,2,1,2,2,2,4,1,1,1,4,1,1,1,2,1,120,0,,,,0,0,0,2,2.0,2,2,2,2,2,2,2,2,3,2,1,3,,,,,1,6.0,12,4.0,4,1,0,1,,5,1,1,1,3,4,2,2,,3.0,1,5.0,,2,2,4,4,4,4,4,4,4,4,4,3,4,1,4,2,4,1
2,3,1,2,2,7,2,5,1,6,8,3,1,2,3,1,6.0,,3,,2,2,,2,2,2,2,1,1,2,1,2,1,2,9,1,1,1,4,1,1,1,2,2,180,4,,7.0,62.0,1,3,0,4,2.0,2,3,1,2,3,2,1,3,3,3,3,4,,,,,1,2.0,5,8.0,2,0,0,4,,4,2,1,2,3,1,2,2,,3.0,2,,5.0,2,1,2,2,4,4,3,2,2,3,1,1,1,1,1,1,2,2
3,4,1,2,1,2,13,12,4,4,5,1,8,4,2,2,,2.0,3,,2,1,0.0,2,2,3,2,2,2,2,2,2,2,2,8,1,3,1,1,3,1,1,1,2,160,3,,52.0,28.0,8,4,0,2,,2,2,2,2,2,2,1,2,1,4,2,2,2.0,,,,1,13.0,12,1.0,1,0,0,5,3.0,4,2,1,2,3,1,2,1,3.0,,1,1.0,,1,1,2,2,3,1,3,1,3,1,1,2,4,1,1,2,5,5
4,5,1,1,1,7,91,1,5,1,4,1,2,6,3,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,2,2,3,3,2,1,1,2,3,120,10,,55.0,25.0,1,0,1,4,,2,2,2,2,2,2,2,2,4,4,4,4,3.0,5.0,,,1,91.0,1,2.0,1,0,0,6,1.0,4,2,2,2,3,3,1,2,,3.0,2,,2.0,1,2,2,2,3,2,3,2,2,3,4,4,4,4,4,4,4,4
5,6,1,2,2,2,78,1,5,4,6,7,3,7,5,2,,2.0,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,8,1,2,2,3,2,2,1,2,2,120,0,,,,0,2,0,2,2.0,2,2,2,2,2,2,2,2,4,4,4,3,5.0,,,,1,78.0,1,3.0,3,1,0,5,5.0,2,1,1,2,3,1,2,1,3.0,,2,,2.0,1,3,2,2,3,3,3,3,3,3,2,4,2,2,2,4,2,5
6,7,1,1,2,9,59,5,4,7,7,5,1,6,2,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,9,2,3,1,1,1,1,1,2,3,180,1,72.0,,,5,0,0,2,2.0,2,2,2,2,2,2,2,2,4,4,4,4,,,,,1,59.0,5,3.0,1,0,0,5,5.0,2,2,1,2,3,2,1,1,3.0,,1,2.0,,2,2,2,3,3,3,3,3,3,3,2,3,2,2,2,2,2,3
7,8,1,2,2,1,59,5,4,8,8,1,3,7,10,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,6,1,1,2,1,4,4,4,2,2,480,5,,19.0,20.0,10,2,0,2,2.0,2,2,2,2,2,2,2,2,4,3,4,3,,,,,1,59.0,5,5.0,3,1,0,5,2.0,3,2,1,2,3,2,1,2,,3.0,1,2.0,,2,1,2,2,2,2,2,2,2,2,3,2,2,1,2,3,5,3
8,9,1,2,2,5,74,11,3,2,4,4,8,4,1,2,,2.0,3,,1,2,,2,2,2,2,2,2,2,2,2,2,2,7,1,1,1,1,1,1,1,2,2,450,5,,30.0,40.0,1,0,2,2,2.0,2,2,2,2,2,2,2,1,1,1,4,3,8.0,,,,1,74.0,11,5.0,2,1,0,6,3.0,2,2,1,2,4,2,2,1,3.0,,1,5.0,,1,2,2,2,3,2,2,2,3,2,2,5,2,3,2,2,2,2
9,10,1,2,1,3,92,1,5,1,3,2,2,8,1,1,3.0,,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,8,1,2,2,1,1,2,1,1,3,0,2,,35.0,35.0,1,0,0,4,,2,2,2,2,2,2,2,2,4,4,4,4,3.0,,,,1,92.0,1,3.0,2,0,0,6,1.0,4,1,1,2,3,2,1,2,,3.0,2,,1.0,2,2,2,3,3,2,3,2,3,4,2,2,2,2,2,2,2,3
10,11,1,1,2,8,2,5,3,6,8,3,8,2,1,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,1,2,1,1,1,1,1,1,2,90,0,,,,0,2,0,3,2.0,2,2,2,2,2,2,2,2,4,3,4,3,,,,,1,2.0,5,5.0,2,0,0,4,,6,2,1,3,3,1,2,1,2.0,,2,,4.0,1,1,2,2,3,2,3,1,2,3,4,3,2,2,2,4,4,2
11,12,1,1,2,5,84,12,4,2,5,3,1,3,9,2,,2.0,3,,2,2,,1,2,2,2,1,2,2,2,2,2,2,8,1,1,1,1,2,1,1,2,2,0,0,,,,0,1,0,4,2.0,2,2,2,2,2,2,1,2,3,2,2,3,3.0,,,,1,84.0,12,3.0,3,1,0,4,,6,1,1,2,2,2,2,2,,3.0,2,,3.0,2,2,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2
12,13,1,1,2,7,84,12,4,2,5,1,1,5,7,1,2.0,,3,,2,2,,2,2,2,2,2,1,2,2,2,2,2,6,2,2,1,1,2,1,2,4,2,300,100,,,,0,0,0,2,2.0,2,2,2,2,2,2,2,2,4,4,4,4,1.0,5.0,,,1,84.0,12,4.0,3,2,1,5,5.0,4,2,1,2,3,2,2,2,,3.0,1,2.0,,2,2,2,2,2,2,2,2,2,2,2,5,2,1,2,2,4,3
13,14,1,1,1,6,29,8,4,2,5,2,9,2,6,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,1,2,1,2,2,1,2,3,2,420,10,,45.0,40.0,2,0,1,3,,2,2,2,2,2,2,2,2,3,3,3,3,1.0,5.0,,,1,29.0,8,4.0,3,1,0,5,1.0,6,2,2,2,4,3,1,1,3.0,,2,,5.0,2,2,3,3,3,2,3,2,3,4,2,3,2,1,1,1,1,2
14,15,1,2,1,8,13,12,4,5,8,3,2,8,9,2,,1.0,3,,1,2,,2,2,2,2,2,2,2,2,2,2,2,5,1,2,1,1,1,1,1,2,3,120,0,,,,4,7,0,3,,2,2,2,2,2,1,3,1,4,4,4,4,,,,,1,13.0,12,5.0,3,0,0,4,,4,2,1,3,3,1,1,2,,2.0,2,,1.0,2,2,2,2,3,2,3,2,3,2,3,3,2,3,2,3,3,3
15,16,2,3,2,5,51,6,4,1,5,1,8,5,3,3,,,3,,2,2,,2,2,2,2,1,2,2,2,1,2,2,7,1,1,4,1,1,1,2,2,1,120,0,,,,0,1,1,4,2.0,2,2,1,2,1,2,2,2,3,3,2,2,3.0,,,,1,51.0,6,2.0,1,0,0,5,2.0,6,1,1,2,3,2,1,1,2.0,,1,2.0,,2,3,4,3,3,2,3,2,4,3,2,2,2,2,2,2,4,2
16,17,1,2,2,4,6,12,4,2,5,1,2,5,8,2,,2.0,3,,2,2,,2,2,2,1,2,2,2,2,2,2,1,0,1,1,1,1,2,2,2,6,1,360,200,,,,0,1,7,5,2.0,2,2,2,2,2,2,2,2,1,1,1,1,1.0,,,,1,6.0,12,3.0,3,2,0,2,,6,2,1,2,2,2,1,2,,3.0,2,,3.0,2,2,2,3,3,2,3,2,3,3,4,4,3,4,2,3,4,4
17,18,1,2,2,3,93,1,5,1,4,1,4,7,6,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,2,3,6,6,2,6,2,1,2,35,8,,24.0,,1,0,0,5,2.0,2,2,2,2,2,2,2,2,4,4,4,4,3.0,5.0,,,1,93.0,1,3.0,1,0,0,6,5.0,7,1,1,2,3,3,2,2,,3.0,1,4.0,,2,3,3,3,3,3,3,3,3,3,4,1,5,1,5,3,4,3
18,19,2,2,2,3,58,3,3,3,2,3,5,6,10,2,,2.0,3,,2,2,,2,3,2,2,3,2,2,2,2,2,2,8,1,2,2,1,6,2,1,2,6,0,4,,33.0,5.0,0,1,0,2,2.0,2,2,3,2,2,2,2,2,1,1,1,3,2.0,,,,1,58.0,3,5.0,4,2,2,3,,3,1,3,1,1,1,1,1,1.0,,2,,2.0,1,2,2,2,2,2,2,3,2,2,3,3,2,3,2,3,3,2
19,20,1,2,2,6,21,3,1,1,5,1,1,9,4,2,,4.0,3,,2,2,,1,2,2,2,2,2,2,2,1,2,2,9,1,2,3,1,1,1,2,2,2,270,13,,23.0,50.0,0,2,5,3,2.0,2,2,2,2,2,2,2,2,3,3,3,2,1.0,,,,1,21.0,3,4.0,3,2,0,4,,2,2,1,2,3,2,2,1,3.0,,1,5.0,,2,3,4,4,4,4,4,4,4,4,3,3,3,2,3,2,5,3
20,21,1,2,2,1,78,1,2,8,8,1,1,3,4,3,,,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,9,1,1,1,1,1,1,2,2,1,0,1,19.0,,,1,1,0,2,3.0,2,2,2,2,2,1,2,2,1,1,2,2,,,,,1,78.0,1,3.0,2,0,0,4,,6,2,1,2,4,2,2,1,1.0,,2,,5.0,2,2,4,4,4,4,4,3,4,4,1,1,1,1,2,4,5,1
21,22,1,2,2,2,56,8,1,4,3,7,3,4,8,1,3.0,,2,,2,1,39.5,1,2,1,1,2,2,1,2,1,2,2,8,1,1,2,1,5,1,1,2,1,10,1,30.0,,,3,0,0,2,2.0,2,2,2,2,2,2,2,2,1,1,1,1,3.0,,,,2,76.0,4,3.0,2,0,0,6,4.0,6,1,1,2,4,3,2,2,,2.0,1,3.0,,2,1,1,3,4,1,1,3,1,2,4,1,1,1,2,1,4,2
22,23,1,2,2,2,95,1,5,1,4,1,6,10,8,2,,2.0,2,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,2,3,3,1,2,2,1,2,2,0,0,,,,2,1,3,4,2.0,2,2,2,2,2,2,2,2,4,4,4,4,1.0,,,,1,95.0,1,4.0,1,0,0,6,3.0,6,1,1,2,3,3,1,1,3.0,,1,2.0,,2,1,1,2,2,2,2,2,2,3,5,3,4,3,4,5,5,5
23,24,1,2,2,1,6,12,4,8,8,1,1,3,4,2,,2.0,3,,2,3,,2,2,1,1,2,2,2,1,2,2,2,10,1,4,2,1,6,1,1,1,1,0,1,20.0,,,0,0,0,1,2.0,2,2,1,2,3,3,3,3,1,1,1,1,,,,,1,6.0,12,1.0,1,0,0,5,4.0,6,2,1,2,3,2,2,2,,3.0,2,,1.0,2,3,3,3,3,3,3,3,3,3,4,2,4,2,4,2,4,4
24,25,1,2,1,3,51,6,1,1,6,3,1,10,5,2,,2.0,3,,1,2,,2,2,2,2,2,2,2,2,2,2,3,5,2,1,1,1,1,1,1,1,1,180,2,,56.0,53.0,0,2,0,1,,2,2,2,2,2,2,2,2,3,3,3,3,1.0,,,,1,51.0,6,5.0,2,1,0,1,,6,2,2,2,2,2,1,1,2.0,,1,1.0,,2,4,4,4,4,4,4,4,4,4,2,2,1,1,5,2,1,1
25,26,1,2,2,5,78,1,5,1,3,1,1,8,6,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,1,2,2,1,2,1,1,1,1,240,15,,30.0,25.0,0,1,0,2,2.0,2,2,2,2,2,2,2,1,2,2,3,1,3.0,,,,1,78.0,1,2.0,1,0,0,6,1.0,6,1,1,2,3,2,1,2,,3.0,2,,1.0,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2,4,3
26,27,1,2,2,2,88,6,3,1,4,1,8,1,7,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,10,1,1,1,1,2,1,1,2,2,720,8,,15.0,35.0,0,0,7,2,2.0,2,2,2,2,2,2,2,2,4,4,4,4,1.0,,,,1,88.0,6,2.0,1,0,0,6,5.0,6,2,1,2,2,2,2,2,,3.0,2,,3.0,2,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2
27,28,1,2,2,2,44,7,2,1,4,3,1,9,6,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,9,1,1,2,1,1,1,1,1,4,180,0,,,,0,0,0,2,2.0,2,2,2,2,2,2,2,2,4,4,4,4,5.0,,,,1,44.0,7,5.0,2,1,0,5,1.0,2,1,1,3,2,2,2,1,3.0,,1,3.0,,2,2,2,2,3,2,3,2,2,2,2,4,1,3,1,1,1,2
28,29,1,2,2,2,64,9,4,1,4,1,3,8,7,2,,2.0,3,,1,2,,2,2,2,2,2,2,2,2,2,2,2,6,1,1,1,1,1,1,1,6,1,30,10,,70.0,70.0,0,0,2,3,2.0,2,2,1,2,2,3,2,2,4,3,3,4,1.0,,,,1,64.0,9,3.0,2,0,0,6,1.0,2,1,1,2,4,2,2,1,3.0,,2,,2.0,2,3,3,3,3,3,3,3,3,3,3,5,3,1,3,3,5,3
29,30,2,2,2,3,59,5,4,6,8,1,2,6,10,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,2,1,1,2,2,1,90,0,,,,1,1,0,2,2.0,2,2,2,2,2,2,2,2,3,4,4,3,,,,,1,59.0,5,2.0,1,0,1,6,4.0,3,2,2,2,2,2,1,1,3.0,,1,1.0,,2,2,2,2,4,3,4,3,3,3,1,1,2,1,2,1,3,1
30,31,1,2,2,5,59,5,4,4,5,2,8,4,1,1,2.0,,2,,2,1,37.9,1,2,1,1,1,2,1,1,1,1,2,6,1,4,1,2,1,1,1,2,1,0,1,35.0,,,0,0,0,3,2.0,2,1,1,2,2,2,1,2,3,2,3,2,6.0,,,,1,59.0,5,1.0,2,0,0,5,3.0,1,1,1,2,3,1,2,2,,3.0,2,,4.0,2,2,3,3,4,4,3,2,4,3,1,1,1,1,1,1,4,1
31,32,1,2,2,6,62,5,4,2,5,3,5,1,4,2,,2.0,2,,2,2,,2,2,2,1,2,2,2,2,2,2,2,9,1,1,1,1,1,1,1,2,2,300,20,,45.0,34.0,2,1,1,2,2.0,3,2,2,3,2,3,2,2,2,1,1,1,4.0,,,,1,62.0,5,6.0,6,0,0,1,,6,1,1,1,3,3,1,1,3.0,,1,2.0,,2,4,4,3,3,3,3,2,2,4,2,2,2,2,2,4,1,2
32,33,1,2,2,3,64,9,4,1,5,2,5,6,2,2,,2.0,3,,2,2,,1,2,2,1,2,2,2,2,1,1,2,3,2,4,2,3,1,4,2,3,3,270,1,48.0,,,2,0,4,4,2.0,2,2,1,2,2,2,2,2,2,3,2,3,1.0,5.0,,,1,64.0,9,5.0,2,0,0,4,,3,2,1,1,4,3,2,1,3.0,,1,1.0,,2,2,2,2,3,2,3,2,2,2,1,2,3,1,2,3,5,1
33,34,1,2,2,5,27,4,1,6,8,2,5,1,2,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,5,1,1,1,1,1,1,1,2,1,90,2,,42.0,42.0,2,0,0,2,2.0,2,2,2,2,2,2,2,2,4,2,2,2,,,,,1,27.0,4,4.0,2,2,0,2,,5,1,1,1,1,1,1,1,1.0,,1,1.0,,1,2,5,5,1,1,1,1,2,5,1,1,1,1,1,1,2,1
34,35,1,2,2,5,58,3,2,1,5,2,2,1,7,2,,2.0,3,,2,2,,2,2,3,2,2,2,2,2,1,3,2,5,2,3,2,2,2,1,1,2,2,90,6,,62.0,62.0,0,2,0,4,2.0,2,2,2,2,2,2,2,2,4,3,3,4,2.0,,,,1,58.0,3,7.0,7,5,0,5,3.0,2,1,1,3,3,2,2,1,2.0,,1,3.0,,2,2,2,2,2,2,2,2,2,2,4,3,3,4,2,3,4,5
35,36,1,2,2,6,40,9,1,4,5,4,5,6,11,2,,2.0,3,,2,2,,2,2,3,2,2,2,2,2,2,2,2,6,1,2,1,1,1,1,1,2,2,150,1,40.0,,,1,0,0,1,2.0,2,3,3,3,2,2,2,2,4,4,4,4,5.0,,,,1,40.0,9,6.0,1,1,0,2,,6,1,1,1,3,2,2,2,,3.0,2,,4.0,2,2,2,2,3,2,2,2,2,2,2,4,1,4,3,3,2,5
36,37,1,1,1,3,75,1,5,3,2,1,1,3,8,2,,2.0,3,,2,2,,2,2,2,2,1,2,2,2,2,2,2,9,1,5,1,6,4,1,1,1,2,0,0,,,,0,1,0,2,,3,3,3,2,3,1,1,3,1,1,1,1,2.0,,,,1,75.0,1,1.0,1,0,0,2,,6,1,1,2,4,3,2,2,,3.0,2,,3.0,2,4,3,3,4,1,3,4,4,3,2,1,1,1,1,1,4,3
37,38,1,2,1,6,86,9,2,1,5,2,2,4,7,1,2.0,,3,,2,2,,2,2,2,2,2,2,2,2,1,2,2,7,1,2,3,1,2,1,1,2,2,240,30,,40.0,50.0,2,0,0,4,,1,2,1,2,2,2,2,2,4,3,4,4,5.0,,,,1,86.0,9,5.0,4,2,0,4,,2,1,1,1,4,3,1,2,,3.0,2,,1.0,1,1,1,1,1,1,1,1,1,1,5,5,5,5,3,4,4,2
38,39,1,2,2,2,68,6,3,1,3,1,7,8,3,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,1,2,2,2,240,2,,25.0,25.0,2,7,0,2,2.0,2,2,2,2,2,2,2,2,4,4,4,4,5.0,,,,1,68.0,6,3.0,4,0,0,6,5.0,6,1,1,2,3,3,2,2,,3.0,2,,4.0,2,1,2,2,3,2,3,2,2,3,2,4,4,3,4,1,1,5
39,40,1,2,1,3,67,6,4,1,4,2,10,5,9,2,,2.0,1,,1,2,,2,1,2,3,3,2,3,2,1,2,2,6,4,3,5,2,2,5,4,5,4,0,0,,,,1,1,0,2,,2,2,2,2,2,2,2,2,3,3,5,2,3.0,,,,1,67.0,6,6.0,4,2,0,6,1.0,4,1,1,1,4,2,1,1,2.0,,1,4.0,,2,3,3,3,3,2,4,4,3,3,3,3,4,4,4,4,2,3
40,41,2,2,2,10,93,1,5,7,7,5,8,1,3,2,,2.0,3,,1,2,,2,2,2,2,2,2,2,2,2,2,2,8,1,2,1,1,2,1,1,2,2,150,10,,,50.0,3,1,0,2,2.0,2,2,2,2,2,2,2,2,3,3,3,3,,,,,1,93.0,1,3.0,1,0,0,5,2.0,2,3,1,2,4,2,1,1,3.0,,1,5.0,,2,2,3,3,3,3,3,3,3,3,2,3,1,1,1,2,2,1
41,42,1,1,2,7,59,5,4,6,8,3,1,2,3,2,,4.0,3,,2,2,,2,2,2,2,2,2,2,2,1,2,2,9,1,1,1,1,1,1,1,2,1,150,3,,,,0,1,0,4,2.0,2,2,2,2,2,2,2,2,3,2,3,3,,,,,1,59.0,5,8.0,4,1,0,5,1.0,5,1,1,2,2,2,2,1,3.0,,1,5.0,,2,2,3,3,3,3,3,3,3,3,2,2,1,1,1,1,2,2
42,43,1,1,2,1,60,5,3,2,5,2,5,1,3,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,5,1,3,1,1,2,1,2,1,2,600,5,,28.0,60.0,3,1,4,2,2.0,2,2,2,2,2,2,2,2,4,2,4,4,1.0,,,,2,75.0,1,3.0,2,0,0,6,4.0,2,1,1,1,2,3,2,1,3.0,,1,4.0,,2,2,3,3,2,2,2,3,3,4,4,4,3,3,3,3,3,3
43,44,1,1,2,9,94,1,5,7,7,3,1,2,6,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,2,2,3,1,1,1,1,2,3,240,20,,50.0,60.0,0,1,0,2,2.0,2,2,2,2,2,2,2,2,4,3,4,4,,,,,1,94.0,1,3.0,1,0,1,6,3.0,6,1,1,1,4,3,1,2,,1.0,2,,5.0,2,2,2,4,3,2,3,2,3,3,2,3,2,3,2,1,5,1
44,45,1,1,2,7,16,9,1,2,6,2,1,2,8,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,1,2,2,1,1,5,5,2,2,90,0,,,,0,2,0,3,2.0,2,2,2,2,2,2,2,1,1,1,1,4,5.0,,,,1,16.0,9,4.0,2,0,0,3,,6,1,1,2,3,3,1,2,,3.0,2,,4.0,2,2,3,3,3,3,3,3,3,3,2,4,2,4,5,1,1,3
45,46,1,1,1,3,45,2,4,1,5,2,5,4,6,2,,2.0,3,,2,2,,2,2,2,2,1,2,2,2,2,2,2,7,2,4,2,1,2,1,2,2,3,60,15,,30.0,15.0,0,0,0,3,,2,2,2,2,2,2,2,2,2,2,2,4,5.0,,,,1,45.0,2,4.0,3,1,0,6,1.0,4,2,1,3,2,1,2,2,,3.0,1,3.0,,2,3,2,2,4,2,3,3,3,3,3,3,2,1,3,1,2,1
46,47,1,2,2,4,1,11,1,1,5,2,8,9,11,2,,4.0,3,,2,2,,2,2,2,2,2,2,2,2,2,3,2,8,1,1,1,1,1,1,3,3,1,420,3,,50.0,50.0,0,1,3,2,2.0,2,2,3,2,2,2,2,2,2,2,2,2,1.0,,,,1,1.0,11,2.0,1,0,0,4,,6,1,2,1,1,1,1,1,2.0,,1,5.0,,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
47,48,1,2,2,6,60,5,2,1,4,1,1,4,8,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,10,1,1,2,1,1,1,2,2,2,60,3,,,49.0,1,0,0,4,2.0,2,2,2,2,2,2,2,2,3,4,4,3,3.0,,,,1,60.0,5,2.0,1,0,0,6,4.0,2,1,1,2,3,3,1,1,3.0,,1,5.0,,1,3,3,3,3,3,3,3,3,3,5,5,3,5,5,3,2,3
48,49,1,2,2,2,62,5,3,4,5,1,8,7,3,2,,2.0,3,,2,2,,3,2,2,2,2,2,2,2,3,2,2,8,1,1,1,1,1,1,1,2,1,15,0,,,,0,0,0,3,2.0,2,2,2,2,2,2,2,2,4,4,4,4,5.0,,,,1,62.0,5,5.0,3,0,0,5,2.0,2,2,1,2,2,2,2,1,3.0,,2,,4.0,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,2,1,1
49,50,1,1,2,6,41,2,2,4,8,2,2,8,1,2,,3.0,3,,2,1,37.3,2,2,1,1,1,1,2,2,2,2,2,9,1,2,1,1,1,1,1,1,2,300,3,,35.0,42.0,2,1,0,4,2.0,2,2,2,2,2,2,1,2,5,1,4,2,,,,,1,41.0,2,5.0,3,1,0,3,,6,1,3,1,2,1,2,1,3.0,,1,1.0,,2,1,3,3,3,3,3,3,3,3,1,4,1,1,1,1,3,1
50,51,1,2,1,2,76,4,3,1,5,1,1,2,6,2,,2.0,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,7,1,2,2,1,2,5,2,2,3,480,5,,25.0,30.0,1,2,1,4,,2,2,2,2,2,2,2,2,4,4,4,4,5.0,,,,1,76.0,4,3.0,1,0,0,5,5.0,4,1,1,1,3,3,2,2,,3.0,2,,2.0,2,2,2,2,3,2,2,2,2,2,4,4,4,4,4,3,4,3
51,52,1,2,2,9,80,5,1,4,5,2,8,2,1,2,,2.0,3,,2,2,,2,2,2,1,2,2,2,2,2,1,2,10,2,4,1,1,1,1,1,2,2,0,0,,,,2,0,0,2,2.0,2,2,2,2,2,2,2,2,2,1,1,1,6.0,,,,1,80.0,5,6.0,2,0,0,4,,6,1,1,3,2,2,2,2,,2.0,2,,4.0,2,1,2,1,4,2,4,1,3,2,4,4,2,2,2,3,4,3
52,53,1,1,2,6,41,2,1,5,8,4,1,4,8,2,,2.0,3,,2,2,,2,2,1,1,1,2,2,1,2,1,2,9,1,3,2,1,1,1,1,2,3,270,0,,,,0,0,0,3,2.0,3,2,2,2,2,2,2,3,1,1,2,1,,,,,1,41.0,2,6.0,4,1,0,1,,6,1,1,1,3,2,2,1,3.0,,1,5.0,,2,2,2,2,3,2,2,2,2,3,2,2,2,2,1,2,2,3
53,54,1,2,1,1,93,1,5,8,8,1,7,3,4,2,,2.0,3,,2,2,,1,2,2,2,2,2,2,2,2,2,2,9,2,4,1,1,2,1,1,1,1,0,0,,,,1,0,0,1,,2,2,2,2,2,1,2,2,2,2,3,1,,,,,1,93.0,1,4.0,3,0,0,4,,6,1,1,2,2,1,2,1,3.0,,1,3.0,,2,1,1,2,2,1,2,1,2,1,2,5,2,2,2,4,5,2
54,55,1,2,2,8,94,1,5,3,3,5,1,5,3,1,3.0,,3,,2,2,,2,2,2,2,2,2,2,2,2,2,2,8,1,2,1,2,1,1,2,2,1,0,0,,,,2,0,0,5,2.0,2,2,2,2,2,2,2,2,4,4,4,4,2.0,3.0,,,1,94.0,1,2.0,1,0,0,6,4.0,3,2,1,2,2,3,2,2,,3.0,2,,3.0,1,2,2,3,3,3,3,2,3,3,3,4,4,3,4,2,4,1
55,56,1,2,2,1,92,1,5,8,8,1,1,4,3,1,2.0,,3,,2,2,,2,2,1,1,2,2,2,2,2,2,2,10,1,1,1,1,1,1,1,2,1,5,1,28.0,,,0,0,0,2,2.0,2,2,2,2,2,2,2,2,3,1,4,3,,,,,1,92.0,1,3.0,2,0,0,5,5.0,6,2,1,1,2,2,2,2,,3.0,2,,1.0,2,2,3,3,4,2,2,3,4,4,1,2,3,1,2,2,5,4
56,57,1,2,2,3,44,7,4,2,4,1,3,4,8,1,2.0,,1,,2,2,,1,1,1,1,1,1,2,1,1,1,2,7,1,1,1,1,1,1,1,3,1,120,1,24.0,,,3,0,0,3,2.0,2,2,1,2,2,2,2,2,2,2,2,2,4.0,,,,1,44.0,7,1.0,1,0,0,6,4.0,6,2,1,2,3,2,2,1,3.0,,1,3.0,,1,2,2,2,2,2,2,2,3,2,2,2,1,1,1,1,3,1
57,58,2,2,2,1,75,1,5,8,8,5,1,3,5,2,,2.0,3,,2,2,,1,2,2,2,2,2,2,2,3,2,2,8,2,2,6,3,3,6,2,2,1,240,2,,14.0,18.0,2,0,0,2,2.0,2,2,2,2,2,2,2,2,2,3,4,2,,,,,1,75.0,1,,2,0,0,4,,7,1,1,2,3,2,2,2,,3.0,2,,2.0,2,2,3,3,3,3,3,3,3,3,3,2,4,3,4,3,5,4
58,59,2,3,2,8,25,3,4,1,4,1,3,8,6,2,,2.0,2,,1,2,,2,2,2,2,2,2,2,2,2,2,2,5,1,2,1,1,2,1,2,3,2,660,15,,40.0,35.0,0,2,5,2,2.0,2,2,2,2,2,2,2,2,4,4,4,4,1.0,,,,1,25.0,3,4.0,1,0,0,6,3.0,6,2,1,2,3,1,2,1,3.0,,1,3.0,,2,2,2,3,4,2,3,2,2,3,2,2,6,1,2,1,2,2
